	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
767	Swansea City	Manchester City	1	3	24/09/2016	17	This is the second meeting in four days between these clubs, with Swansea and Manchester City making 17 changes between them for the EFL Cup game on Tuesday. The bad news for Swansea is that Sergio Agüero is back from suspension, which is the last thing Francesco Guidolin needs right now. Swansea’s manager is on the brink and another damaging result here could spell the end. Pep Guardiola, in contrast, goes in search of a 10th successive win in all competitions. Stuart James	-1	-0.9977680444717407,-0.937824547290802
768	West Ham United	Southampton	0	3	25/09/2016	17	West Ham United could be bottom by the time they take on Southampton. At least Dimitri Payet’s late winner against Accrington Stanley in the EFL Cup restored some belief. Yet it is likely to be another fraught afternoon at the London Stadium, on and off the pitch, unless West Ham plug the holes in their defence. Meanwhile, Claude Puel’s side are looking for their fourth straight win in all competitions. Jacob Steinberg	-1	-0.3354794979095459,0.9988881945610046
769	Burnley	Watford	2	0	26/09/2016	17	Sean Dyche might have been particularly confident of getting one over his old club had this fixture taken place two weeks ago but Watford have taken off since and Burnley begin Monday night’s game on the back of a 3-0 defeat at Leicester. They used a more cautious 4-2-3-1 shape at the King Power Stadium but may recall Sam Vokes to their normal 4-4-2 here or even hand a first start to loanee Patrick Bamford. Johann Berg Gudmundsson is another who could be recalled if Dyche fancies starting on the front foot.Nick Ames	1	-0.17106688022613525,0.9809838533401489
770	Arsenal	Swansea City	3	2	15/10/2016	17	Bob Bradley has demonstrated his ability to talk the talk, as anybody present at his Swansea media unveiling will attest – now, he has to walk the walk, at a stadium where his side have fared well of late. Arsène Wenger said the American’s appointment was “good for the Premier League, because it is taking off in the States”, but the Arsenal manager’s concern is to record a home league win over Swansea for the first time since 2011. David Hytner	1	0.9963938593864441,0.9962533712387085
771	Bournemouth	Hull City	6	1	15/10/2016	17	After finally being given the full-time manager’s job on Thursday, Mike Phelan takes charge of Hull City on a permanent basis for the first time. It’s perhaps not one of the toughest trips at first glance, but Bournemouth are searching for a third straight home win in the Premier League. The on-loan Arsenal midfielder Jack Wilshere, who last played 90 minutes more than two years ago, is again likely to start behind the striker Callum Wilson, who is beginning to show glimpses of his best form. Ben Fisher	1	0.9758957227071127,0.9985402822494507
772	Chelsea	Leicester City	3	0	15/10/2016	17	The Premier League champions from the last two campaigns meet at Stamford Bridge with Antonio Conte obliged to reiterate the strength of his relationship with the Chelsea hierarchy after various bookmakers closed the market on his premature departure on Thursday. “I’m trying to find out who put the money on,” he joked. “But I’m focused. I’m focused on improving my team, and I have good communication and a good relationship with the club. I take this with a smile.” He will retain his back three against Leicester, pointless away from home to date, and must decide whether John Terry returns to his lineup after injury. Dominic Fifield	1	0.8047558069229126,-0.9966501593589783
773	Crystal Palace	West Ham United	0	1	15/10/2016	17	West Ham United would appear to be there for the taking. A team struggling to adapt to a new home have yet to gain anything other than bloodied noses away from Stratford this term, with nine goals conceded in three defeats. Yet Alan Pardew and Crystal Palace are still braced for an awkward derby. West Ham have won 3-1 on their last two visits to Selhurst Park, “and they’ve got some fantastic players, players of international standard or even world-class ability,” offered Pardew. Palace must ensure the revival does not start south of the river. Dominic Fifield	-1	-0.2591742475827535,0.9980627596378326
774	Manchester City	Everton	1	1	15/10/2016	17	Manchester City can bounce straight back from their first loss at Tottenham and stretch the gap between themselves and Everton to seven points. Kevin De Bruyne could start after his injury but whether Pep Guardiola will risk him before Wednesday’s trip to Barcelona is the question. If Ronald Koeman’s side were to record an away win, expect an inquiry at City. Jamie Jackson	0	-0.3827892740567525,0
775	Stoke City	Sunderland	2	0	15/10/2016	17	David Moyes has lost only three of his 17 league meetings with Mark Hughes but the Stoke manager considers this to be the first of seven winnable games, a reasonable return from which would improve the mood after failing to register one in their first seven. Sunderland, too, have yet to win and they occupy bottom spot, with the West Brom draw last time out representing an up-turn. Mark Tallentire	1	0.9979585111141205,-0.9955357313156128
776	West Brom	Tottenham Hotspur	1	1	15/10/2016	17	Nacer Chadli has been a breath of fresh air for West Brom and the Belgium attacking midfielder may be motivated to show his former club what they are missing. His time at White Hart Lane fizzled out, and he found a starting berth hard to come by. Yet he has impressed at The Hawthorns, becoming they key creator for Tony Pulis’s team. Finding a way past Spurs will still be difficult though. Alan Smith	0	0.9975328743457794,-0.9966064691543579
777	Middlesbrough	Watford	0	1	16/10/2016	17	With only one League win this season – against Sunderland – Middlesbrough could do with registering a first victory at the Riverside since April. Six points from seven games is a slightly disappointing return for Aitor Karanka who needs more from the currently under-achieving Gaston Ramírez and can only hope Álvaro Negredo rediscovers his scoring touch. In contrast, Watford’s Troy Deeney has scored three times in the last four games and Walter Mazzarri has challenged his centre forward to break into the England team. Louise Taylor	-1	-0.0017254352569580078,0.9855362772941589
778	Southampton	Burnley	3	1	16/10/2016	17	Southampton face a test to sustain their fine form as they go into the first of seven matches in 22 days with important defensive injuries. Both of their first-choice full-backs will miss the visit of Burnley, who will be aiming to become the first team in seven matches to score against Southampton. Sean Dyche’s side have also been performing well lately and will fancy their chances of collecting their first away point of the campaign. Paul Doyle	1	0.9787399768829346,0.00023680925369262695
779	Liverpool	Manchester United	0	0	17/10/2016	17	José Mourinho has lost only three of his 10 visits to Anfield, the last in the 2007 Champions League semi-final, but the implications of a fourth would be sizeable for both Manchester United and Liverpool. Defeat for United would leave them six points behind their fierce north-west rivals and encourage the portrayal of Mourinho as a manager left behind by the pressing instincts of Jürgen Klopp and co, despite being only eight league matches into his Old Trafford reign. Klopp has injury concerns, however, over two thirds of his central midfield in Adam Lallana and Georginio Wijnaldum. Andy Hunter	0	0.011598259210586548,0.9970732927322388
